weight,product__ref,primary,secondary,basic_consumption
1.49081,2ea0a4a017ee850,Energetics,Energetics & government fares,TRUE
2.173,ff51d18393e3638,Energetics,Energetics & government fares,TRUE
0.21398,d56f0b272070132,Energetics,Energetics & government fares,TRUE
0.45003,5c59a9542f80538,Household,Services,FALSE
0.20111,74bb9f2540c00f6,Non-food merchandise,Merchandise,FALSE
2.16582,ccfd7adb4647343,Household,Services,FALSE
1.28222,a539f9f09ac7cd8,Other services,Services,TRUE
0.88006,0d328f8e8cb2dda,Household,Services,FALSE
0.28345,ca5daed64ee7aba,Other services,Services,TRUE
12.0107,ea449ca29d875e2,Household,Services,FALSE
0.0152,328b2cf78bc259c,Non-food merchandise,Merchandise,FALSE
0.0426,56e9a9149636d56,Non-food merchandise,Merchandise,FALSE
0.02639,ae74b5c90248f9c,Non-food merchandise,Merchandise,FALSE
0.12659,bd44256f44a7597,Non-food merchandise,Merchandise,FALSE
0.00865,db308078db58d6c,Non-food merchandise,Merchandise,FALSE
0.01588,0652585059f03ec,Non-food merchandise,Merchandise,FALSE
0.07271,402b3ec58139973,Non-food merchandise,Merchandise,FALSE
0.06894,23b7818282cf975,Non-food merchandise,Merchandise,FALSE
0.0955,370a01eeed1c747,Non-food merchandise,Merchandise,TRUE
0.06597,8eb83626ae93843,Non-food merchandise,Merchandise,FALSE
0.03,4ef11384bf379c6,Non-food merchandise,Merchandise,TRUE
0.11959,7fdc56ba19b264f,Non-food merchandise,Merchandise,FALSE
0.13503,191530497919ecd,Non-food merchandise,Merchandise,FALSE
0.09958,3b2958aeb92b9bd,Non-food merchandise,Merchandise,FALSE
0.28917,9aad27d82a4175b,Non-food merchandise,Merchandise,FALSE
0.04348,eff2a2e46ccdd1c,Non-food merchandise,Merchandise,FALSE
0.01913,45f043cf786e88e,Non-food merchandise,Merchandise,FALSE
0.49504,b96d306d59d27eb,Non-food merchandise,Merchandise,TRUE
0.34895,3a006d54324f7ad,Non-food merchandise,Merchandise,FALSE
0.11959,96b90665ceda727,Non-food merchandise,Merchandise,FALSE
0.08333,ef01acb3a344712,Non-food merchandise,Merchandise,FALSE
0.12974,f7272e61b20be85,Non-food merchandise,Merchandise,TRUE
0.0306,a30ab79dac6ea84,Non-food merchandise,Merchandise,TRUE
0.07012,ecbf6faf2061a0a,Non-food merchandise,Merchandise,FALSE
0.0187,5e5f555172a6e48,Non-food merchandise,Merchandise,FALSE
0.03194,398a1171fa23168,Non-food merchandise,Merchandise,FALSE
0.11748,73a6fa3e4b5e868,Non-food merchandise,Merchandise,TRUE
0.01429,e5ef2c47aa7726b,Non-food merchandise,Merchandise,FALSE
0.18427,f994d274bfc169e,Non-food merchandise,Merchandise,FALSE
0.0411,dc7c619f8fd5bea,Non-food merchandise,Merchandise,TRUE
0.04265,2f49c08055c573c,Non-food merchandise,Merchandise,FALSE
